,Name,Address,ContactNo,City,Department
0,Satyanarayan Nuts,"E-3, Ground Floor, Ozone Desire 100 Ft,, Zydus Hospital Road,, Thaltej, Ahmedabad - 380054, Near to Columbia Asia Hospital",07947410752,ahmedabad,Grocery-Stores
1,Ganga Kashi Grocery Super M..,"Shop No 30-31-32 Metro Mall Ground Floor, Bapa Sitaram Chowk, Vastral, Ahmedabad - 382418, Near Raf Kamp",07947331892,ahmedabad,Grocery-Stores
2,Pratiksha Parlour and Provi..,"Shop No 7, Swami Narayan Park 6, Narol, Ahmedabad - 382405, Nr AIM International School",07947268338,ahmedabad,Grocery-Stores
3,Ramdev Dry Fruits Masala Ki..,"Shop No:1 Kalgi Apartment, Jayhind-Aradhna School Road, Maninagar, Ahmedabad - 380008, Near Sitabaugh Society, Near Jayhind Cross Road",07947410838,ahmedabad,Grocery-Stores
4,Maheshwari Fresho Hub,"Shop Number 26 Orchid Complex, South Bopal Road, South Bopal, Ahmedabad - 380058, Opposite Safal Parisar 2",07947069091,ahmedabad,Grocery-Stores
5,Dev Kirana Store,"17,Prasiddhi Complex, Near Prathna Bunglow, Saraspur, Ahmedabad - 380018",07947294684,ahmedabad,Grocery-Stores
6,Laxmi Provision Store,"Shop No 6 Nirman2002 Complex, Shayonacity Road, Ghatlodiya, Ghatlodia - 380061, Near  R C Technical Road",07947165061,ahmedabad,Grocery-Stores
7,Bajrang General Stores,"303, Laxmi Nagar Society, Meghaninagar, Ahmedabad - 380016, Near Meghaninagar Last Bus Stop, Near Old Army Gate",07947073393,ahmedabad,Grocery-Stores
8,Danev Sons Super Market,"Shop No 2-6 Giriraj Anclave, Nr. K.p Residency, Nikol Gam, Ahmedabad - 382350",07947059679,ahmedabad,Grocery-Stores
9,Shiv Trader (Kamlesh Trader..,"373 Azad Medan, Jalaram Oil, Kubernagar, Ahmedabad - 382340, Vegetable Market",07947069914,ahmedabad,Grocery-Stores
10,Al Madina Dates Chocolates ..,"A 101 1st Floor Royal Nawab Avenue, Sarkhej Road, Juhapura, Ahmedabad - 380055, Above Moti Bakery",07947410963,ahmedabad,Grocery-Stores
11,Divine Supermart,"Shop No 38,39 Ashray 9 New Ranip, Near Khodiyar Mata Temple, New Ranip, Ahmedabad - 382480, Ashray 9",07947479752,ahmedabad,Grocery-Stores
12,VRJ MART,"1/ 2 , Devkrupa Avenue , Opp True Value Showroom, Vinzol, Ahmedabad - 382445",+(91)-8511672708,ahmedabad,Grocery-Stores
13,Shreeji Food Solutions,"Shop No 1 Mukhyamantri Awas Yojana, Jodhpur Gam Road, Jodhpur Tekra, Ahmedabad - 380015, Opposite Lotus School",+(91)-6355365338,ahmedabad,Grocery-Stores
14,Shree Laxmi Traders,"Old Madhupura Market, Delhi Darwaja Cross Road, Madhupura, Ahmedabad - 380004, Opposite Delhi Darwaja, Madhupura Dhal",07947202836,ahmedabad,Grocery-Stores
15,Nancy Mega Mart,"Ground Floor1, Galaxy Business Park, Sardar Patel Ring Road, Nikol, Ahmedabad - 382350, Near Galaxy Height,Opposite Torrent Substation",+(91)-79-29709811,ahmedabad,Grocery-Stores
16,D Mart,"Shivalik Corporate Park, Shivranjani Cross Road, Satellite, Ahmedabad - 380015, Near Ioc Petrol Pump",+(91)-079-30616300,ahmedabad,Grocery-Stores
17,D Mart,"Ground Floor, Arved Transcube Plaza, Ranip, Ahmedabad - 382470, Near Rto Circle, Opposite Ranip Brts Bus Stop",+(91)-079-30455100,ahmedabad,Grocery-Stores
18,D Mart,"Kathwada Road, Hari Darshan Cross Road, Naroda, Ahmedabad - 382330, Opposite Kush Society, Near Kharikat Canal",+(91)-79-30351000,ahmedabad,Grocery-Stores
19,D Mart (Sangath Mall),"Sangath Mall 2, Sabarmati Gandhinagar Highway Road, Sabarmati, Ahmedabad - 380005, Near Visat Petrol Pump",+(91)-079-30616400,ahmedabad,Grocery-Stores
20,Green Grocers,"E 99, Sobo Center, Safal Parisar Road, South Bopal, Ahmedabad - 380058",+(91)-8849656150,ahmedabad,Grocery-Stores
21,D Mart,"Bopal Cross Road, Bopal, Ahmedabad - 380058, Near City Gold Cinema",+(91)-79-30145300,ahmedabad,Grocery-Stores
22,D Mart,"Jivraj Park Cross Road, 132 Feet Ring Road, Jivraj Park, Ahmedabad - 380051, Near Swaminarayan Mandir",+(91)-079-30616599,ahmedabad,Grocery-Stores
23,Big Bazaar (Shree Balaji Ag..,"Shree Balaji Agora Mall, 200 Feet Sardar Patel Ring Road, Sughad, Ahmedabad - 382424, Near Tapovan Circle",+(91)-079-23963205,ahmedabad,Grocery-Stores
24,Reliance Smart,"Drive In Road, Ahmedabad - 380052, Opposite Drive In Cinema",+(91)-079-40080002,ahmedabad,Grocery-Stores
25,National Handloom Corporati..,"Sumel 11,G- H, Shahibaug Road, Shahibaug, Ahmedabad - 380004, Near Namaste Circle",+(91)-8343818653,ahmedabad,Grocery-Stores
26,Reliance Fresh,"Onyx Building, Navrangpura, Ahmedabad - 380009, Opposite IDBI Bank, Near Municipal Staff Quarter, Off C G Road",18001027382,ahmedabad,Grocery-Stores
28,Reliance Fresh (Sangath Mal..,"Ground Floor, Sangath Mall, Visat Gandhinagar Highway, Motera, Ahmedabad - 380005, Opposite Engineering College",+(91)-079-65100348,ahmedabad,Grocery-Stores
29,Reliance Fresh,"Ground Floor, Shalvik Avenue, Naranpura Vistar, Ahmedabad - 380013, Near Naranpura Cross Road",+(91)-079-64509847,ahmedabad,Grocery-Stores
30,Shree Bajrang Supermarket,"Shop No,1,Shilp-3complex, Sindhu Bhavan Road, Thaltej, Ahmedabad - 380054, Near, Mann Party Plot",+(91)-079-40307319,ahmedabad,Grocery-Stores
31,Star Bazaar (New Ranip),"Sv Square, New Ranip, GST Crossing, Ranip, Ahmedabad - 382480, Near Khodiyar Mandir Road Opposite Savan BUnglose",+(91)-9136919763,ahmedabad,Grocery-Stores
32,Reliance Fresh,"1-3-5-9, Ornet Arcade, Bodakdev, Ahmedabad - 380054, Near Vishwa Ketu Tower, Opposite Auda Garden",+(91)-79-40027919,ahmedabad,Grocery-Stores
33,Reliance Fresh,"Maurya Atria, Bodakdev, Ahmedabad - 380054, Near Judges Bunglow, Opposite Atithi Dining Hall",+(91)-079-40036041,ahmedabad,Grocery-Stores
34,Jain Super Bazar,"38, Samast Brahmakshatriya Society, Narayan Nagar Road, Paldi, Ahmedabad - 380007, Near Shantivan",+(91)-79-26639314,ahmedabad,Grocery-Stores
35,Hearty Mart Super Market,"Shop No 4,5,6, Ellicon Tower, Sarkhej Road, Ahmedabad - 380055, Near Vishala Circle , Near Service Road, Near Luxary Bus Parking",+(91)-9879165282,ahmedabad,Grocery-Stores
36,Gondal Gathiya Center,"Kailashdham Society 2, Sarvoday Society, India Colony Road, Bapunagar, Ahmedabad - 380024",+(91)-9898079642,ahmedabad,Grocery-Stores
37,Paras Provision Store,"Swaminarayan Mandir Road, Maninagar, Ahmedabad - 380008, Opposite Hiramoti Market, Near Jayhind Cross Road",+(91)-079-25450982,ahmedabad,Grocery-Stores
38,Panachand Zaverdaswala,"2, Theosophical Society, Vijay Cross Road, Navrangpura, Ahmedabad - 380009, Opposite Rasranjan",+(91)-79-26400303,ahmedabad,Grocery-Stores
39,Special Groceries,"10, Shangrila Arcade, Shyamal Cross Road to Anandnagar Road, Satellite, Ahmedabad - 380015, Near Shyamal Char Rasta",+(91)-079-26740162,ahmedabad,Grocery-Stores
40,Ganesh Super Market,"Shop No 05, Empire Business Hub, Science City Road, Sola, Ahmedabad - 380060",+(91)-9712923391,ahmedabad,Grocery-Stores
41,Blue Mart Super Market,"26-B, Sindhi Colony Road, Sardar Nagar, Ahmedabad - 382475, Near Sukhram Das Darbaar",+(91)-9328230194,ahmedabad,Grocery-Stores
42,Panachand Zaverdas & Sons,"Pz House, Darshan Plot Premises, Near Kiran Moter, Bodakdev, Ahmedabad - 380054, Opposite Rajpath Club",+(91)-9898009926,ahmedabad,Grocery-Stores
