Sharma Hair Cutting Service..,"Room No-4, Sai Prasanna A, Tapar Khandi Road, Virar East, Palghar - 401305",07947276959
Sameer Salmani The Artist,"Shop No 3 A Wings, Hill Road, Bandra West, Mumbai - 400050, Opposite Kobe Sizzlers",07947282677
Orange Saloon,"Shop No.- 01, Soham Shivam Building No1 Mansarovar, Varala Devi, Bhiwandi, Bhiwandi - 421302, Near Mansarovar Police Chowki",07947189747
Janhavis Makeover,"Shop No-16, Shree Krupa Complex, Ambika Mata Road, Kasturi Complex, Shahapur, Thane - 421601, Opp. Sagar Ferniture",+(91)-8104010795
Sandhya Beauty Salon & Acad..,"Shop No 5 Shree Ganesh Sai Building, Jerbaiwadia Road, Bhoiwada-Parel, Mumbai - 400012, Near Cresent Bay Tower",07947187551
Lohara @ Salon,"12 , Rajhans Soc ,, Tilak Road, Dombivli East, Thane - 421201, Opposite Rangoli Bar & Restaurant , 4 Rasta",07947185418
Black & White Unisex Family..,"Shop Number 3, Maheshwar Niketan ,, Kolbad-Thane West, Thane - 400601, Opposite Vishal Tower",07947455061
Fringe Unisex Salon And Aca..,"Shop No D 12 Kesar Chsl, Charkop, Kandivali West, Mumbai - 400067, Opposite Bhagwati Veg Restaurant",07947404514
Make Over By Shabana,"Nerul, Navi Mumbai - 400706, Near Station",07947477582
Rajan Hair Studio,"Shop No 6 New Balaji Deep CHS, Gupte Road, Dombivli West, Thane - 421202, Near Anand Bazar",07947186538
Sakshi Beauty Parlour,"Shop No 15 Sanghavi Estate, R. T. O. Road, Kalyan West, Kalyan - 421301, Near Icon Plaza",07947455394
Magic Looks Home Salon Serv..,"Plot No 364/384, 2nd Floor, Chamunda Krupa Bungalow, Gorai 2-Borivali West, Mumbai - 400091, Opposite Mangalmurti Hospital",07947167728
Anaya Unisex Salon,"Shop No:11/12, Swarg Heights, D-Mart Lane, Bhayandar West, Thane - 401101, Opposite Salasar Business Park",07947192042
Kismat Hair Looks Unisex Sa..,"Shop No.01,Shobha Tambey Chawl, Vijay Nagar Road, Nalasopara East, Palghar - 401209, Opp Lakmanya School",07947169230
Walk In Unisex Salon,"Moksha Plaza, 2nd Floor, Shop No 8, S V Road, Borivali West, Mumbai - 400092, Opposite Indrparsht Shopping Center",07947178815
Stylist Hair Salon,"Shop Number 6, Koina Bhai Society, Andheri Kurla Road, Andheri East, Mumbai - 400099, Safed Pool",07947191910
Empire Salon,"Shop No 4, Chinoy Mention Building, Mukesh Chauk, Warden Road, Kemps Corner, Mumbai - 400026, Opposite. St. Stephen Church",07947183566
Kings and Queens (A Family ..,"Shop No.10,Asiatic Arcade, Vartak Nagar-Thane West, Thane - 400606, Oop Mitali Heights",07947184176
Sunitaajs Salon,"Shop No 3, Ashoka Tower, Kulupwadi Road, Borivali East, Mumbai - 400066, Opposite Raheja Main Gate",07947174752
PRAIRUND,"Shop No.6 Ganga Niwas, Chincholi Bunder, New Link Road-Malad West, Malad West, Mumbai - 400064, Opposite Toyota Showroom/ Besides Road House Cafe",07947436423
Basecoat Salon,"Shop No 2, Gr Floor, Siddhi Prabha Bldg, Sayani Road, Prabhadevi, Mumbai - 400025, Near Siddhivinayak Temple",07947184115
Siya Salon And Academy,"Talati Co-operative Bldg , Room No. 2, Ram Mandir Road, Andheri West, Mumbai - 400061, Near God Gift Tower Next to Ram Mandir",07947203832
The Mirror Unisex Salon,"Shop 10, Akruti Elegance,, B-wing 90 Feet Road, Gavanpada, Mulund East, Mumbai - 400081, Neelam Nagar",07947174653
Ruhi Parlours,"Room No, 3, Mahanagarpalika Karmchari, Vasahat Navaghar Road, Vasai East, Palghar - 401208",07947294801
Queens Beauty Care,"Room No.27, Zoting Mata Housing Society, Charkop Village, Kandivali West, Mumbai - 400067, Near Zoting Temple",07947081662
Iqrar Hair Studio,"Shop No.1, K. M Apartment, Alkapuri Road, Nalasopara East, Palghar - 401209",07947179574
Da Mascon Family Salon,"Lila Park Bldg, Shop No .1,2,3 , Gr Floor, Yari Road Versova, Andheri West, Mumbai - 400061, Opp Mandir Masjid",07947078895
SR Professionl Academy & Sa..,"Plot No. 12/L/3, Road No. 1, Govandi West, Mumbai - 400043, Opposite Bhandup Shehkari Bank and Near Shivsena Office",07947170053
Toni & Guy,"Rajni Mahal Building, Tardeo, Mumbai - 400034, Near Maji Sagar Hotel Opp A C Market",07947225517
Shree Mens Saloon,"Shop No-6, Amrit Kanchan Co Op Hsg, Jawahar Nagar, Goregaon West, Mumbai - 400062, Near- Police Chowki",+(91)-9892857100
Rich Feels Beauty Parlour,"Shop No  26/33  Kalpataru Complex, Old Agra Road, Shahapur, Thane - 421601, Near Dr.Ashish Patil",+(91)-7021710961
Glamzar,"Biulding. No. A1, Shop No. 2, Tanvar Complex, Mumbra, Tanwar Nagar Road, Mumbra, Thane - 400612, Near Queen Marys High School & Junior College",+(91)-7977952867
Erica Beauty Parlour,"Shop No 11/12, Vikram Apartment, New Maneklal Estate, Ghatkopar West, Mumbai - 400086, Behind Bst Bus Stop",+(91)-22-25113922
Basil Salon and Spa,"K1 Juhu Supreme Shopping Center, Gulmohar Cross Road No 8, Juhu Circle-Juhu, Mumbai - 400049, Opposite Criti Care Hospital Behind Tiwari Sweets Shop",+(91)-7700950679
S&S Salon,"Mona Shopping Centre, Azad Nagar-Andheri West, Mumbai - 400053, Near Andheri Station",+(91)-9152009806
New Light Beauty Salon,"219/ 23, Shop No 6,Versova Street, Bellasis Road, Mumbai Central, Mumbai - 400008, Nagpada Junction",+(91)-9967007734
Ruby Massage Home Services,"Shop 4, Plaza Theatre, Station Road, Dadar West, Mumbai - 400028, Opp Plaza Theatre",+(91)-9769121949
Diva Beauty Parlour,"Chawl No 2 , Room No 10, L B S Marg, Ghatkopar West, Mumbai - 400086, Near Sarvoday Hospital, Ganga Wadi",+(91)-8082441244
Priyanka Makeup Artists,"Room No 29, M G Road, Kurla East, Mumbai - 400024, Near Sbi Bank , Behind 4 No Building",+(91)-9833365408
Hair Xpress,"Shop No.4 Ground Habeeb Manzil 58, Near Afiyan Heights Tower, Nagpada-Mumbai Central, Mumbai - 400008",+(91)-7506630849
AS Hair Studio,"Shop No.8, Rashmi Enclave 2, Shanti Park, Mira Road, Thane - 401107, Opposite St Xavier School",+(91)-7977176632
Curl N Care The Beauty Loun..,"Shop No 7, Premji Kanji Visariya Chawl, T J Road, Sewri, Mumbai - 400015, Opposite Dosti Flamingo",+(91)-22-24123606
Ritaz Unisex Salon,"Shop No.2, Ground Floor, Prakash Villa, Gurudwara Road, Santacruz West, Mumbai - 400054, Opposite Gurudwara",+(91)-9136707024
Everglow Hair Studio,"Shop No.4 Alpine Industrial Estate, Marol Military Road, Andheri East, Mumbai - 400059, Opposite Figure Factory Gym, Next to Hotel Mumbai Residency",+(91)-7303437190
Tip Top Unisex & Spa Salon,"Shop No 1 Samikaram Plot No 34 B TPS V, Sant Janabai Road, Vile Parle East, Mumbai - 400057",+(91)-9082555767
Pink Door Spa and Salon,"Hotel Crown Inn 1st Floor, Plot No 102/4, Panvel, Navi Mumbai - 410206, Next to Patil Hospital",+(91)-8949134773
Look Salon,"Shop No 3 Building No 14 Mhada Residential Complex, New Link Road, Andheri West, Mumbai - 400053",+(91)-7400012062
Cabello Hair & Beauty Salon,"Shop No 18, Kamdhenu Shopping Centre, Kamdhenu Apna Ghar Unit No 14 Chs Ltd, Andheri West, Mumbai - 400053, Lokhandwala Complex",+(91)-8291187756
Infinity Unisex Salon,"Shop No 05, Sungrace Building, Powai Road, Chandivali-Andheri East, Mumbai - 400072, Chandivali Studio",+(91)-22-40060646
Waves Salon,"Chand Society, Devalary Road, Juhu, Mumbai - 400049, Iskcon Temple",+(91)-8850509029
Tabasum Mehndi Artist,"Room No 15, Agarwal Wadi,Wadala, Antop Hill, Mumbai - 400037",+(91)-9967758886
M 78 Beauty Salon Spa And A..,"Lok Nisarg HSC B/4 Shop No 03 Ghati Pada Near Gala Factory Vaishali Nagar, Off Lbs Marg, Mulund West, Mumbai - 400080",+(91)-22-21645493
Naifa Unisex Salon & Spa,"Shop No 2012,, Chira Bazar Dadi Sheth , Agyar Line,, Chira Bazar-Kalbadevi, Mumbai - 400002, Marine Lines",+(91)-9324566092
Bfab Salon,"Shop No 10, Elite Building, Thane West, Thane - 400610, Opposite Sindhanchal Phase 2",+(91)-22-49718210
