Aroma Beauty Studio,"Kumbhar Wada, 90 Feet Road, Dharavi, Mumbai - 400017, Opposite Sai Hospital",07947185703
Lasea,"233 Nazmi Building, D N Road, Fort, Mumbai - 400001, Near Handloom House",07947184269
Sapnas Salon & Beauty Clini..,"Shop No .44/B, Vishal Co Oprative Society, M V Road,Andheri Kurla Road, Andheri East, Mumbai - 400069, Near Vishal Hall",07947180619
Radiance Salon Spa And Acad..,"Shop No 2 and 3, Dattani Park Building No 1, Dattani Road, Kandivali East, Mumbai - 400101, Thakur Village, Opposite Gokul Concorde Building",07947169745
Mani Studio Ladies Beauty P..,"Shop No 5 Plot No 965, Marol Church Road, Marol-andheri East, Mumbai - 400059, Near Hotel Elight 59",07947167890
Izara Salon & Academy,"Shop No 6,, Premier Exotica - Ll,, Kurla West, Mumbai - 400070, Bldg 4/A, Opp Don Bosco School Kirol Road",07947231559
Touch Of Class Family Hair ..,"Shop Number 4 Gate No 2 Guide Co Operative Housing Society, 16 Ld Ruparel Marg, Malabar Hill, Mumbai - 400006, Opposite Manek Building,Near Priyadarshini Park",07947183480
Avalons Wellness Family Sal..,"SB- 68, 2nd Floor, High Street Mall, Thane Bhiwandi Road, Kapurbawdi Circle Road-Kapurbawdi-Thane West, Thane - 400607, Above Big Bazaar",07947078386
Sameer Salmani The Artist,"Shop No 3 A Wings, Hill Road, Bandra West, Mumbai - 400050, Opposite Kobe Sizzlers",07947282677
Anellas Unisex Salon,"142, Sunrise Apartment ,Sher E Punjab, Mahakali Caves Road, Mahakali-Andheri East, Mumbai - 400093, Next to Kotak Mahindra Bank Ltd, Opposite St Dominic Savio School",07947185465
Perk Up,"22, Panchvati Panch Srishti Complex, Chandivali, Powai, Mumbai - 400076",07947180880
Maitree Makeup Mantra,"Shop No 1 Mageshi Flora C Wings, Vishnu Nagar, Kalyan West, Kalyan - 421301",07947226000
Namita Beauty Parlour,"Shop No 2, Pink Apartment, Jp Road, Andheri West, Mumbai - 400061, Near Seven Bungalow Masjid Gali",07947253222
Dynamix Unisex Salon,"Plot No 5, Shop No 2,Om Siddhivinayak Co Operative Housing Society, Swami Vivekanand Nagar, Vasant Vihar-Thane West, Thane - 400610, Opposite Parmarth Niketan",07947186726
Zuicch Spalon,"101-104, 1st Floor, Bhagwati Arcade, Chiplunkar Path, Dombivli East, Thane - 421201, Near Shivaji Maharaj Statue, Off Manpada Road",07947172377
Hair And Care Unisex Salon,"133/1 Dillawar Mansion, Dimtikar Road-Mumbai Central, Mumbai Central, Mumbai - 400008, Next to Ahmed Sailar School",07947479753
Glamour Beauty Parlours,"Room No 201 2nd Floor Ashtavinayk Apartment, Sainath Nagar, Vasai East, Palghar - 401208, Petrol Pump",07947075741
Ethics Salon,"Shop No 3 Darshan Building, R B Kadam Marg, Ghatkopar West, Mumbai - 400084, Near Sidhi Ganesh Mandir",07947188228
Xperience Hair & Beauty Sal..,"Shop No 5,Block No 1,Hiranandani Meadows, Thane West, Thane - 400610, Near Vasant Vihar,Opposite Lokeshwar Temple",07947174809
Namastey Salon,"56A, Patel Heritage, Hiranandani, Kharghar Sector 7, Navi Mumbai - 410210, Near Hiranandani Crystal Court",07947173706
Riddhi Siddhi Unisex Salon,"15, Mulji House, Veer Sawarkar Marg, Prabhadevi, Mumbai - 400025, Opp Prabhadevi Police Chowki",07947172923
Identity Hair & Beauty Salo..,"Shop No A 5, Pitale Mansion, V P Road, Charni Road, Mumbai - 400004, Near to Cp Tank Circle Girgaon",07947183587
Mystery Salon N Spa,"Shop No. 9, First Floor,, Raja Vadi Junction, Mg Road, Ghatkopar East, Mumbai - 400077, Savani Apartment",07947188024
Lakme Salon,"Shop No 1 and 2, Ground Floor, C Wing, Phase 4, Lake Prim Ro, Powai, Mumbai - 400076, Next to Lake Home",07947174222
Twins Ladies Beauty Parlour,"Shop No 9, Mohan Kheda Heights, Ghodapdeo-reay Road, Mumbai - 400033, Near Mhada Sankul",07947190761
Riya Mistry,"Shop No 8, Runwal Shopping Center, 15th Road, Chembur, Mumbai - 400071, Next to Mumbai Bank, Ahead Of Nirmal Herbal",07947173691
Plush The Family Salon,"Shop No.04, Om Shrushti Chs,, Sector 20, Plot No. 51,, Kharghar, Navi Mumbai - 410210, Opp Ramshet Thakur School,",07947190870
Impression Salon Hair & Bea..,"Shop No 10, Hermes Centre, Plot No 67, Sector 17, Vashi, Navi Mumbai - 400703, Near Mangaldeep Showroom",07947182049
Esthetique Classic,"1st floor , daulatram mansion, 6th kitridge road, Colaba, Mumbai - 400005",07947179437
Smit Studio The Family Salo..,"Shop No 10.Crescent Landmark, Makwana Road, Marol Naka-Andheri East, Mumbai - 400059, Near Marol Naka Metro Station.Opposite ASTARC HOUSE",07947190412
Angels Salon & Aesthetic Cl..,"Arun Bunglow, Cresent Society, Arun Vaidya Marg, Panch Pakhadi-Thane West, Thane - 400602, Near Kachrali Talao & Next to Utsav Hotel",07947187075
Dimple Beautician,"Chandak, Parbat Nagar, Dahisar, Mumbai - 400068, Shiv Sena Shakha",08045796956
Jawed Habib Hair & Beauty S..®,"Shop No 1, German Pride Building, Tardeo, Mumbai - 400034, Opposite Mahindra Heights, Near AC Market",07947172443
Jawed Habib Hair and Beauty,"14/139 & 14/140 Om Pragati CHS, New Link Road, Kandivali West, Mumbai - 400067, Near Mahavir Nagar Petrol Pump",07947338265
Kavita Ladies Beauty Parlou..,"Shop 1, Durvankur CHS, Dutta Raul Marg, Dadar West, Mumbai - 400028, Near Purushottam Tower",07947180989
La Belle Ladies Beauty Salo..,"005, Rishabh Apartment, Sambhav Co-operative Housing Society,, Nahur Road, Sarvoday Parshwanath Nagar-Mulund West, Mumbai - 400080, Near Jain Temple",07947174134
Omn Unisex Salon,"Shop No .14 ,Emerald Building, Powai Vihar Complex, Powai Vihar Complex-Powai, Mumbai - 400076",07947458301
Makyaj Makeup Institute & S..,"Shop No 1 Rehyaan Tower A Wing, SAHAKAR ROAD, Jogeshwari West, Mumbai - 400102, Opposite Deewan Center",07947191131
Lakme Salon,"1st Floor, Building No 5, Shelar Park, Khadakpada Circle, Kalyan West, Kalyan - 421301, Next to Mc Donalds",07947170831
Runway Family Spa &salon,"Shop No.2,Adarsh Blg, Pokhran Road No.2, Vasant Vihar-Thane West, Thane - 400610, Near The Kitchen Rastaurant",+(91)-7208292873
Prime Parlour,"D 204 Maitri Heights,T.T Wadi,, Marve Road, Malad West, Mumbai - 400064, Near Nutan School",07947185249
Lakme Salon Chembur,"101 ,102 1st Floor Shiv Ashish Complex, 19 Road, Chembur East, Mumbai - 400071, Above Bata Showroom",07947186554
Hair and Beauty Mahavir Nag..,"Shop No.9, Raj Garden Co-Operative Housing Society Pvt Ltd, Mahavir Nagar, Kandivali West, Mumbai - 400067, Besides Royal Chemist, Near Axis Bank",07947181936
Dream 27 Salon & Academy,"Shop No 2-3 , Radhika CHS, TPS 3 57th Road, Borivali West, Mumbai - 400092, Opp Savarkar Garden Gate No 2  , Nr Bhatia Wadia",07947174627
Urban Looks Salon & Academy,"Shop No 6 Nyayadeep Apartment, Raviraj Oberi Complex, Link Road, Andheri West, Mumbai - 400053, Near Kaliga Hotel",07947179015
Rohit Anand Salon,"Shop No 11, Runwal Grand, 18th Road, Chembur East, Mumbai - 400071, Opposite Gandhi Maidan",07947178616
Black & White Unisex Family..,"Shop Number 3, Maheshwar Niketan ,, Kolbad-Thane West, Thane - 400601, Opposite Vishal Tower",07947455061
R K Salon & Makeup Studio,"Shop No 3, Bldg No A/4, Valentine Apartment, Gen A K Vaidya Marg, Malad East, Mumbai - 400097, Opp Tarnat Co",07947189705
Essentials Salon & Academy,"Shop No 1 Ground Floor Mahaganga Chs, Tilak Road, Dombivli East, Thane - 421201, Near Sarvesh Hall Near Brahman Sabha Hall",07947457154
Princess Beauty Parlour,"J J Road, Mumbai Central, Mumbai - 400008, Near J J Hospital Compaund",07947176632
Make Over By Shabana,"Nerul, Navi Mumbai - 400706, Near Station",07947477582
Louis Unisex Salon,"Twinkle Apartments , B Wing 101, Off Link Road, Andheri West, Mumbai - 400053, Near Infiniti Mall",07947226149
White Orchid Salon & Wellne..,"Shop No A/304, The AHCL Homes, New Link Road, Borivali West, Mumbai - 400092, Opposite Telephone Exchange",07947178277
Fab Cut Unisex Hair Salon,"Shop No -29, Ground Floor,Link Plaza, New Link Road, Andheri West, Mumbai - 400053, Behind Shreeji Hotel Oshiwara",07947479765
Abrielle Salon,"Shop No 1/A ,Rameshwaram Chs Ltd, Shop No 1/A ,Rameshwaram Chs Ltd, Dahisar East, Mumbai - 400068, Near Union Bank",07947277138
Butterfly Ladies Parlour An..,"Shop No 5, Dheeraj Darshan Residency, Roadpali, navi mumbai - 410218, Near By D Mart",07947190944
VLCC Salon Beauty and Hair,"Shop No.11 and 12, Ground Floor, Rustomjee Azziano Building, Mumbai Nashik Highway, Thane West, Thane - 400601, Rustomjee Urbania, Saket Side,Majiwada",07947391181
Rias Beauty Salon,"Shop No 2 Modern Vivek Chs Ltd, Mamlatdar Wadi Main Road, Malad West, Mumbai - 400064, Near Ashray Hotel, Liberty Garden",07947180054
Enhance Salon 961,"Shop No 1,2,3, Trupti Apartment, Saibaba Nagar-Borivali West, Mumbai - 400092, Near SAI Baba Mandir",07947173061
Mohin Sabris M S Salon,"Sho No-25 Mira Tower, Lokhandwala Complex-andheri West, Mumbai - 400053, Next to Beuty Glow",07947191462
New Shine Salon,"Shop Number 2, Bharat Jyot Society, Thakurwadi, Dombivli West, Thane - 421202, Near Deepsh Mhatre Office",07947457453
Jawed Habib Hair Studio,"Shop No 1 Chincholi Apts, Chincholi Bunder Road-Malad West, Malad West, Mumbai - 400064, Near Lila Hospital.. Opp Shah Trading Company",07947191975
Chun Cham Fashion Salon,"Shop No 16/19, Cinemax Shopping Center, Kanakia Road, Mira Road, Thane - 401107, Next to Box Office",07947171752
The Saffron Unisex Spa & Sa..,"Shop No:1, Geeta Tower, Anand Nagar, Vasai West, Palghar - 401202, Neqr K T Vision Theatre",07947189885
B Square The Family Salon,"Shopt No 2,Dhandurga Building, Thane Station Road, Thane West, Thane - 400601, Near Uthdeshwar Mandir and Uthalsar Naka",07947457145
Glow Beauty Parlour,"Shop No 6 Idea Enclave, Ideal Park, Mira Road, Thane - 401107, Near Orange Hospital",07947209596
Jawed Habib Salon & Academy,"25, Karnik Bunglow, 1st Floor, Old Nagadas Road, Andheri East, Mumbai - 400069, Near Metro Station Or Near Andheri Station",07947173040
Hair Express,"Shop No 2, Baitulhuda A-Wing, Halavool, Kurla West, Mumbai - 400070, Near Goodluck Dairy",+(91)-8689934661
Uvi Salon and Spa,"Shop No 47 /D-6 , Saidham Society, Svp Nagar Mahada, Andheri West, Mumbai - 400053, Near Hanuman Mandir",07947173970
Sneha Beauty Parlour & Clas..,"B 3/ 11, Flat No 13, First Floor, Sector 15, Vashi, Navi Mumbai - 400703, Opposite Shabri Hotel",07947171353
Lookout Salon & Academy,"Shop No 1 & 2 ; Sun Sumit Building,, New Link Road, Chikuwadi, Borivali West, Mumbai - 400092, Opposite Sattva Hotel",07947187807
The Bombay Girls,"Viday Chs,001,, Lane No 2, Vishnu Nagar, Vishnu Nagar-Thane West, Thane - 400602",07947192741
Shree Hari Family Salon,"6, Pankaj Building, Kamal Apartments, Shanker Lane, Kandivali West, Mumbai - 400067, Near Om Palace Restaurant",07947168561
Jawed Habib Hair & Beauty S..,"15/16 Ground Floor, High Street Mall, Thane West, Thane - 400601, Near Big Bazaar, Kapurbawdi Junction",07947250079
SSV Beauty,"Shop No 5, Ground Floor, Yashwant Plaza, Navapur Station Road, Boisar, Palghar - 401501, Near My Device Shop, Navapur Naka",07947211892
Mirror & Faces,"Shop No 12, Barsana Chs Ltd, Salasar Brij Bhoomi Complex, Temba Road, Bhayandar West, Thane - 401101, Opposite Maxus Mall",07947176362
Basecoat Salon,"Shop No 2, Gr Floor, Siddhi Prabha Bldg, Sayani Road, Prabhadevi, Mumbai - 400025, Near Siddhivinayak Temple",07947184115
Get Set Stylebar Unisex Sal..,"Shop No.14 Usha CHS, Jankalyan Nagar, Off Marve Road, Malad West, Mumbai - 400095, Near Boomi  Park  Bulding",07947189297
Grace Beauty Studio & Spa,"Rekha Niketan Building,Shop No 12,, Road No 2,, Malad West, Mumbai - 400064, Near Liberty Garden",07947170009
Rajan Hair Studio,"Shop No 6 New Balaji Deep CHS, Gupte Road, Dombivli West, Thane - 421202, Near Anand Bazar",07947186538
Avon Beauty Parlour,"Shop No 11,12, Flat No 3/A, AVON Chsl, Kandivali East, Mumbai - 400101, Near Avenue Hotel, Thakur Complex",07947170964
Petals The Health & Beauty ..,"Shop No. 7/8(Ground Floor), 20 (First Floor) RNA Shopping Arcade, Andheri West, Mumbai - 400053, Next to High Point Restaurant, Lokhandwala Market",07947171383
Kings and Queens (A Family ..,"Shop No.10,Asiatic Arcade, Vartak Nagar-Thane West, Thane - 400606, Oop Mitali Heights",07947184176
