Salon Point,"16, Harikunj Society,, Dakor Road, Kapadwanj, Kheda - 387620, Near Parekh College",+(91)-8128232533
Jalaram Old Age Home,"Pij, Kheda - 387230",+(91)-268-2582101
Perfect Hair Salon,"Perfect Hair Salon, Sujela Complex, Near Mukeshwar Mahadev, Birpur Kheda, Kheda - 388260, Virpur, Mahisagar",+(91)-8000988338
Victoria Hair Salon,"Vallabh Nagar, Nadiad, Kheda - 387002",+(91)-9537748548
Nidhi Homes,"Gj Sh 139, Sanjaya, Kheda - 387375",+(91)-8154080222
Om Maternity And Nursing Ho..,"Kathlal, Pithai, Kheda - 387630",+(91)-2694-243300
Dhaval Trivedis Home,"Gj Sh 12, Thasra, Thasra Kheda, Kheda - 388250",+(91)-2699-223407
Jivandeep Nursing Home,"Meena Baza, Kapadwanj, Kheda - 387620, Opposite S T Stand, Kapadvanj",+(91)-2694-255505
Aastha hospital and materni..,"Kesar Plaza, Balasinor Road, Kathlal Kheda, Kheda - 387630, Above Hdfc Bank",+(91)-2694-243211
Brothers & Brothers Hair Sa..,"Meldi Shoping Center, Shop No 2, At Jesapura Mithapura, Golavada Chokdi, Kotlindora, Kheda - 388230",+(91)-9913821492
New Lakme Hair Salon,"Ghanshyam Chokdi, Nadiad, Pij Road, Patel Society, Kheda - 387002",+(91)-9898217062
Revh Salon,"4,Shreyas Lalwani Empire, Pij Road, Kheda - 387002",+(91)-8141038777
Sumit Sweet Home,"Nadiad, C21, New, Karmvir Nagar, Bilodara, Kheda - 387002",+(91)-9737312927
The Home Of Tattoo (Closed ..,"Gujarat State Highway No 210, Pithai, Kheda - 387630",
Nilkanth Home Decor,"Ghodia Bazar, Nadiad, Ghodiya Bazzar Road, Kheda - 387002",+(91)-9033378775
New Kesh Kala Hair Salon,"109 Shyam Vila Complex, Yogi Nagar, Dabhan, Kheda - 387002",+(91)-8401271111
E Home The Computer Store,"Virpur, Kheda - 388260",+(91)-8238573758
H C Patel Home And Farmhous..,"Telnar, Kheda - 387650",+(91)-9265916494
Anmol Home Decor & Handloom..,"Napad, Nadiad, Pij Road, Kheda - 387002",+(91)-9414294411
Delux Hair Salon,"Nadiad, Kheda - 387002, Near Ambaji Temple",+(91)-8530529494
Janata Salon,"Salun, Kheda - 387360",+(91)-7041708410
Umiya Home Decor,"Pansora, Kheda - 387115",+(91)-9409484595
Amar Hair Salon,"Shop No 1, Amar Hair Salon, 1, Arbuda Nagar, Nadiad, Kheda - 387002",+(91)-9773450468
Ashadeep Nursing Home,"Meena Bazar, Kapadwanj, Kheda - 387620",+(91)-2694-262537
Bombey Hair Salon,"Dakor Cross Road, Dakor, Kheda - 388225",+(91)-7600904800
File N Style Nail Salon,"Vrijbhumi, Valabhai Ni Khadki, Uttarsanda, Kheda - 387370, Bank Of Baroda",+(91)-9869604528
Gayatri Tailor Salon,"Salun, Kheda - 387360, Near Ashapura Temple,Opposite Old Post Office Gayatri Tailors",+(91)-7600812456
Happy Home,"Salun, Kheda - 387360",+(91)-9898989242
Home Painter,"Kumbhar Chali, Kheda HO, Kheda - 387411, Near Sardar Nagar",+(91)-9978540982
Home Printers,"Kumbhar Chawl, Borsad, Kheda - 387002, Near Sardar Nagar",+(91)-9978540981
Janta Hair Salon,"Matar, Kheda - 387530, Main Bazar",+(91)-9409088462
Jinal Patel Home,"Changa, Changa Kheda, Kheda - 388421",+(91)-9016574276
Sapna Hair Salon,"Shop No B/11, Vatsalya 2, Mehmedabad Kheda, Kheda - 387130",+(91)-8866482054
sunrise home service,Kheda - 387620,+(91)-9429251240
Salon Point,"16, Harikunj Society,, Dakor Road, Kapadwanj, Kheda - 387620, Near Parekh College",+(91)-8128232533
Jalaram Old Age Home,"Pij, Kheda - 387230",+(91)-268-2582101
Perfect Hair Salon,"Perfect Hair Salon, Sujela Complex, Near Mukeshwar Mahadev, Birpur Kheda, Kheda - 388260, Virpur, Mahisagar",+(91)-8000988338
Victoria Hair Salon,"Vallabh Nagar, Nadiad, Kheda - 387002",+(91)-9537748548
Nidhi Homes,"Gj Sh 139, Sanjaya, Kheda - 387375",+(91)-8154080222
Om Maternity And Nursing Ho..,"Kathlal, Pithai, Kheda - 387630",+(91)-2694-243300
Dhaval Trivedis Home,"Gj Sh 12, Thasra, Thasra Kheda, Kheda - 388250",+(91)-2699-223407
Jivandeep Nursing Home,"Meena Baza, Kapadwanj, Kheda - 387620, Opposite S T Stand, Kapadvanj",+(91)-2694-255505
Aastha hospital and materni..,"Kesar Plaza, Balasinor Road, Kathlal Kheda, Kheda - 387630, Above Hdfc Bank",+(91)-2694-243211
