Wow Unisex Salon Academy,"Shop No 2/14/15  1st Floor Gruhprasad Complex, Chitra LIC Road, Godhra, Godhra - 389001, Near Chitra Cinema, Above Punjab National Bank",+(91)-02672-250877
Sandips Newlook Hair Salon,"Vitthalpura, Vitthal Nagar, Halol, Halolpavagadh Road, Pavagadh, Panchmahal - 389360",
Iskcon Salon & Academy,"1st Floor, Mahalaxmi Chamber, Bus Stop Road, Godhra, Panchmahal - 389001, Near Mr. Puff",+(91)-02672-351515
Next Stage Beauty Parlour &..,"Iti Road, Godhra, Godhra - 389001, Near City Bank",07947081113
Urvashee Beauty and Hair Sa..,"85, Bamroli Road, Gita Nagar, Godhra, Panchmahal - 389001",+(91)-9879129291
Ho Hair Style Salon,"Mangal Murti Complex, Bus Stop Road, Godhra, Panchmahal - 389001, Near Mr.Puff Bakery",+(91)-9979068272
Raj Vaibhav Beauty Salon,"Kanjari Road, Halol, Panchmahal - 389350, Near Kalarav School",+(91)-9825660799
Ami Hair Salon,"Railway R. P. F Office Road, Godhra, Godhra, Godhra - 389001, Near Relway Station Road",+(91)-6354838236
Gayatri Hair Cutting Salon,"Satharya Bazar, Soniwad, Godhra, Panchmahal - 389001",+(91)-9979328280
Saundarya Hair & Beauty Pro..,"Opp.Gayatri Hoziery,, Chitra Cinema Road,, Godhra, Panchmahal - 389001, Near LIC Marg,",+(91)-8160390259
Angel The Family Salon,"5 1st Floor, Signature Complex, Civil Hospital Road, Godhra, Panchmahal - 389001, Opposite Church",+(91)-9974297975
Prics Hair Beauty Salon,"Nagarpalika Shopping Center, Gayatri Society, Varadhri Road, Lunawada, Panchmahal - 389230, Lunawada",+(91)-7046311568
Maaz Beauty Salon,"Khadi Fadiya, Aman Society, Godhra, Panchmahal - 389001, Near.  Ahmed Raza Masjid",+(91)-9106223707
Superfine Hair Salon,"Nadiyawaas, Khadi Street, Godhra, Panchmahal - 389001, Opposite Railway Station",+(91)-9974321649
24 Alert Security Fort,"F 38 Ami Arcade, Godhra, Panchmahal - 389001, Opp New Bus Stand",+(91)-8469474849
Paris Hair Salon,"Divada Colony Bus Stop, Gj Sh 2a, Diwada, Panchmahal - 389250",+(91)-9737861540
Trushil Hair Salon,"Surya Nagar, Gokul Nagar, Halol, Panchmahal - 389350",+(91)-9904080201
Vengaurd Hair And Beauty Sa..,"JAIN DERASAR MANDIR KE PASS, Derasar Road, Godhra, Panchmahal - 389001, Near. Alvani Hospital",+(91)-8347542807
