Dreamzz Mobile And Communic..,"Ground Floor 17 Ananya Complex, Akshar Chowk, Vadodara - 390012, Opposite Hero Honda Showroom",07947256575
Talk Time Mobile Store,"101, 1st Floor, Tulip Complex, Race Course Road, Alkapuri, Vadodara - 390007, Beside Axis Bank, Opposite Vidhyut Bhavan",07947351323
Zeel Communications,"Gf-17,Darshanam Aries,, Gotri Road, Vadodara - 390021, Gotri Sevasi Road",07947451477
Sagar Mobiles,"19, Sundervan Society, Karelibaug, Vadodara - 390018, Near Deepika Garden",07947079993
Keyur Watch Co.,"Chowkhandi Main Road, Chowkhandi, Vadodara - 390017, Opposite  Hanumanji Temple, Near Patni Coop Bank",07947078361
The Unique Mobile,"Gf/29 Suryakiran Complex Next to Banker Heart Hospital, Main Road, Old Padra Road, Vadodara - 390015, Opposite Avishkar Complex",07947257018
Cellocity,"8, Ground Floor, Subhash Park Shopping Center, Harni Road, Vadodara - 390006, Near Sangam Cross Road",+(91)-265-460447
Apple Bite,"A 5 and 6 Ground Floor  Indraprasth Complex, Race Course, Vadodara - 390007, Near Inox Multiplex",07947256199
Phonup Your Mobile Our Care,"Gf-33, Earth Icon, Khodiyar Nagar Char Rasta, Karelibaug, Vadodara - 390018",+(91)-7567828871
Kana Mobile,"Warasiya Ring Road, Harni Road, Vadodara - 390006, Beside Earth Medical, Opposite Essar Petrol Pump",+(91)-9725742282
Shiv Enterprise,"Manjalpur, Vadodara - 390011, Opposite Manjalpur Post Office, Near Jain Mandir Road",+(91)-9998752455
Unicorn Infosolutions Pvt L..,"15, Ground Floor, Manjalpur, Vadodara - 390011, Patidar Crossing, Near Sports Complex",+(91)-265-2663511
Shrinathji Computers,"Shop No B/13 Krushna Complex, Nr Krishna Talkies, Padra, Vadodara - 391440, Nr New Bus Stop",+(91)-9879928190
Vraj Sales,"FF 24 S9 Square, Sama Savli Road, Sama Road, Vadodara - 390002, Next to Lilleria Banquet",+(91)-9725003937
Krishna Electronics & Elect..,"Shop No-01 and 04 Ambica Shopping, Gotri Main Road, Gotri, Vadodara - 390021, Opposite Gotri Water Tank",07947068742
The Unique Mobile,"Ground Floor 29, Suryakiran Complex, Main Road, Vasna Road, Vadodara - 390007, Opposite Pancham Icon & Next to Dangee Dums",+(91)-9879148804
Finito Mobile,"121- Infinity Arcade, Ongc Road, Pratapnagar, Vadodara - 390004, Behind Pratap Nagar Bridge",+(91)-9924746688
Gadgetsnow.com,Mumbai,+(91)-8010881188
Naaptol.com,Mumbai - 400001,+(91)-9223537000
Big Bazaar (Seven Seas Mall..,"Seven Seas Mall, Fateganj, Vadodara - 390002, Near Diamond Jubilee Girls Hostel, Opposite Arvind Baug",+(91)-0265-2789868
Croma,"Survey No 54/A/2, Centre Square Mall, Wadi Vadodara, Vadodara - 390023, Near Sarabhai Circle, Opposite Vadodara Centre",+(91)-7207666000
Mi Store,"S 04, 2nd Floor, Inorbit, Gorwa Road, Gorwa, Vadodara - 390016",+(91)-9880098484
S S Mobile,"GF-2A,  2B,  2C,  Premier Chambers, R. C Dutt Road, Alkapuri, Vadodara - 390007, Near Circuit House Or Opp. Alkapuri GEB Office",+(91)-9898077989
Mobilewala,"D Tower Ground Floor  5, 6 & 7 Kunj Plaza, Rajmahal Road, Vadodara - 390001, Opposite Laxmi Vilas Palace Near Polo Club",+(91)-0265-2458888
Mobilewala,"D Tower Ground Floor 5, 6 & 7 Kunj Plaza, Rajmahal Road, Vadodara - 390001, Opposite Laxmi Vilas Palace Near Polo Club",+(91)-7226880003
Reliance Digital,"Procube Complex, Nizampura, Vadodara - 390002, Near Dominos Pizza, Opposite Yes Bank",+(91)-265-2762135
Vijay Sales (M Cube Mall),"M Cube Mall, Jetalpur Road, Alkapuri, Vadodara - 390007, Near Kalyan Jewellers & Chakli Circle",+(91)-0265-6190000
Sales Corner Pvt Ltd,"Radha Daya Complex, Old Padra Road, Vadodara - 390012, Near Manisha Cross Road",+(91)-7874900022
Rediphone,"112 113, Gokulesh Complex, R C Dutt Road, Alkapuri, Vadodara - 390007, Opposite Circuit House",
Mobilewala,"GF Epsilon Complex, Race Course Road, Vadodara - 390007, Beside Citi Bank Opposite Racecourse Tower",+(91)-265-2359990
Reliance Digital (Reliance ..,"2nd Floor, Reliance Mega Mall, Old Padra Road, Vadodara - 390020, Opposite Sterling Health Mall, Near Aims Oxygen Ltd",+(91)-265-2328666
Sales INDIA Ltd,"1B, 2B, Earth Building, Apexa Society,, VIP Road, Karelibaug, Vadodara - 390018, Opposite Bright School",+(91)-0265-2464513
Croma (Eva Mall),"Unit No 2,3,4,5,6,7, 1st Floor, Unit No 2,3,4,5,6,7, 2nd Floor, Eva Mall, Manjalpur, Vadodara - 390011, Near Saraswati Complex, Patidar Crossing",+(91)-7207666000
Mi Home,"Shop No 31, Siddharth Excellency, Saraswati Society, Vasna Main Road, Vasna, Vadodara - 391140, Near D Mart",18001036286
Sales INDIA Ltd,"1, 2, 3, Kalpataru Complex, Old Padra Road, Vadodara - 390020, Opposite Devdeep Nagar, Near Akshar Chowk",+(91)-265-2310115
Ivenus,"9, Ground Floor, Pancham High Street, Old Padra Road, Vadodara - 390015",+(91)-265-2982981
S K Mobile,"9, First Floor, Subhash Park Shopping Center, Harni Road, Vadodara - 390006",+(91)-265-2424777
Reliance Digital Xpress (Ce..,"12, Ground Floor, Centre Square Mall, Sarabhai Road, Alkapuri, Vadodara - 390007, Near Genda Circle",+(91)-0265-6457922
Talktime Mobile Store,"17, Ground Floor, Shreeji Darshan Complex, Ajwa Road, Vadodara - 390019, Opposite Shree Hari Township",+(91)-9558577447
Ivenus (Inorbit Mall),"G 19, Inorbit Mall, Gorwa Road, Gorwa, Vadodara - 390016, Opposite Alembic School, Near Gunjan Tower, Off Genda Circle",+(91)-265-2290777
S K Mobile,"Shop No 2, Ground Floor, ABC Premior Chamber, Alkapuri, Vadodara - 390007, Opposite Circuit House",+(91)-265-2345000
Jasmin Mobile,"Signature Complex,, Akashvani Road, Makarpura, Vadodara - 390014, Near D Mart",+(91)-8591048185
Sales Corner Pvt Ltd,"Manjalpur Complex, Manjalpur, Vadodara - 390011, Opposite Shreyas School, Near Manjalpur Naka",+(91)-265-2655265
Nirankari Shop,"Shop No 12, , Maruti Complex, Gidc, Ranoli, Vadodara - 391350",+(91)-265-2308782
