Beauty Mantra,"GF/2-Impala House, Alkapuri, Vadodara - 390007, 36-Vishwas colony",07947256881
A 1 Unisex Salon,"G-10, Sunrise Complex, Manjalpur, Vadodara - 390011, Opp Ambe School",07947371200
Cutz Beauty Salon,"Sb 3 Anurag Complex, Rc Dutt Road, Alkapuri, Vadodara - 390007, Near Bombay Shopping Centre",07947256120
Mirror Hair & Beauty,"Shop No-121, 1st Floor,  Trivia Complex, Near Natubhai Circle, Race Course Road, Vadodara - 390007, Trivia Mall",07947081457
Jainil Hair Studio,"FF-16, Earth Eon, Sama Savli Road, Sama, Vadodara - 390008, Opposite Urmi School",+(91)-8488905757
The Big Bang Salon Hair Ski..,"First Floor Arik Complex, Radha Krishna Char Rasta, Akota, Vadodara - 390020, Opposite Sun Moon Park Pf Office Road",+(91)-6359111999
Lakme Salon,"202 The Plaza Second Floor, Abbaz Tayabji Road, Fateganj, Vadodara - 390002, Near Ginjer Hotel",07947256430
Calista Spa Beauty and Salo..,"3rd Floor Sharnam Enclave, Subhanpura, Vadodara - 390023, Beside Bharucha Hospital",07947257083
Saffron Unisex Hair & Beaut..,"S/G/F 42, Samanvay Saptarshi, Manjalpur, Vadodara - 390011, Old More Mega Store Campus, Near Monalisa",+(91)-9998974409
Manish Makhija,"Shop Number 1 to 3 and 8 to 9 Time Squire Building, Fateganj, Vadodara - 390002, Near C Tower Beside Iocl Petrol Pump",+(91)-0265-2784077
Raj Vaibhav Beauty Salon,"Shop No 1, 1st Floor, Shivam Complex, New Sama Road, Sama Road, Vadodara - 390002, Near Sukla Nagar, Beside Reliance Fresh",+(91)-0265-2780287
The Glam Co,"101, Ship Apartment,, Akota, Vadodara - 390020, Opposite Bharat Petrol Pump",+(91)-265-2355368
Sparkle Slimming - Skin - H..,"101, Parshwa Pooja Complex, Towards Cow Cirlce to Dandiabazar Bridge, Akota, Vadodara - 390020, Opposite Sub Ragistar Office, Cow Circle",+(91)-265-2311191
IDEAL Unisex HAIR & Beauty ..,"FF- 12 The Impria Opp.Geri Compund Near Gotri Police Chocky,Gotri Bhayli Road, Gotri Road, Vadodara - 390021, GOTRI POLICE STATION",+(91)-7698247778
Jawed Habib Hair & Beauty S..,"Shop No 6/7/8/9, Harmony Complex, Concord Lane, Alkapuri, Vadodara - 390007, Opposite M K High School, Off Alkapuri Main Road",+(91)-9687676661
Reflexions Unisex Salon,"202, Kp Infinity, Race Course Road, Vadodara - 390007, Above TBZ, Near Natubhai Bhai Crossing",+(91)-265-6566006
Keyas Beauty Salon,"7, Atlantic, Near Jasmin Mobile, Alkapuri, Vadodara - 390007, Opp Baroda Centre",+(91)-7622023431
Yep Spa & Salon,"Altanic  Floor 206, 208 Midtown Heights, Genda Circle, Vadodara - 390023, Near Jasmin Mobile Shop",+(91)-265-2336666
Scissors And Comb,"Shop No 7/8, Patriot Complex, Race Course Road, Ellora Park, Vadodara - 390023, Opposite Indraprasth Complex",+(91)-265-2390950
Scissors And Comb,"Leo Plaza, Sarabhai Road, GENDA CIRCLE, Vadodara - 390023, Near Central Square Mall",+(91)-265-2330950
VLCC Health Care Ltd,"1st Floor, B Wing, Trident Complex, Race Course, Vadodara - 390007, Opposite Geri Race Course",+(91)-0265-2352213
Shakti Hair Saloon,"S-2, Somdutt Apartment, Rajesh Tower Road, Gotri Road, Vadodara - 390021, Nr. Naine Clinic",+(91)-9824342420
