Product_Name, Pricing ,Ratings
Milton Thermosteel Duo Deluxe-1000 Bottle Style Vacuum Flask| 1 Litre| Silver 1000 ml Bottle,Rs.899
Milton flip lid 1000 ml Bottle,Rs.711
Milton Flip Lid Alloy Thermosteel with Sling Bag| (Silver) (24 Hrs Hot and Cold) 930 ml Bottle,Rs.749
Milton flip lid 1000 ml Bottle (Pack of 1| Silver) 1000 ml Bottle,Rs.749
Milton ATLANTIS 600 Thermosteel Vaccum Insulated Hot & Cold Water Bottle 500 ml Bottle,Rs.499
Milton Atlantis-900 Thermosteel Water Bottle|900 ml|Pink 900 ml Bottle,Rs.822
Milton Aqua Stainless Steel Fridge Water Bottle 930 ml| Set Of 3| Silver 930 ml Bottle,Rs.1169
Milton DUO DLX 1000 1000 ml Bottle,Rs.899
Milton Hot and Cold Bottle 1800 ml Bottle,Rs.1379
Milton Flip lid 500ml hot and cold thermosteel bottle 500 ml Bottle,Rs.549
Milton DUO DLX 1800 ml Bottle,Rs.1431
Milton VIRTUE 750 750 ml Bottle,Rs.293
Milton THERMOSTEEL 500 FLIP LID 500 ml Bottle,Rs.585
Milton Elfin Vaccum 500 ml Bottle,Rs.475
Milton RKG WATER BOTTLE ( BPA FREE ) PACIFIC BLACK ( SET OF 6 PC ) 1000 ml Bottle,Rs.235
Milton Unisteel Freeze Bottle Puro 1000 ml| Silver 930 ml Bottle,Rs.399
Milton Thermosteel| 24 Hour Hot & Cold| Silver| Duo Deluxe| 750 ml 750 ml Bottle,Rs.754
Milton Carafe Classic 2000 ml Bottle,Rs.1399
Milton Thermosteel Flip Lid Flask| Silver 500 ml Bottle,Rs.499
Milton HAWK 750 750 ml Bottle,Rs.299
Milton PACIFIC 1000 6000 ml Bottle,Rs.180
Milton Shine 800 Unisteel Fridge Single Wall Bottle| 775 ml 775 ml Bottle,Rs.370
Milton Aqua Stainless Steel Fridge Water Bottle 930ml| Pink 930 ml Bottle,Rs.363
Milton Smarty Thermosteel Hot & Cold Water Bottle| Blue| 720 ml 720 ml Bottle,Rs.745
Milton Aqua Stainless Steel Fridge Water Bottle 750 ml| Set Of 2| Silver 750 ml Bottle,Rs.749
Milton Thermosteel Flip Lid 500 ML Flask (24hrs Hot & 24hrs Cold) 500 ml Bottle,Rs.549
Milton Duo DLX 1000 ml Bottle,Rs.899
Milton Thermosteel Duo Deluxe| | Steelplain water bottle 500 ml Bottle,Rs.608
Milton Thermosteel Flip Lid 1000 ml Bottle,Rs.749
Milton Thermosteel Kidzy 650 500 ml Bottle,Rs.594
Milton Thermosteel Flip Lid Flask| Silver 500 ml Bottle,Rs.499
Milton Atlantis-900 Thermosteel Water Bottle|900 ml|Orange 900 ml Bottle,Rs.815
Milton Atlantis-900 Thermosteel Water Bottle|900 ml Silver 900 ml Bottle,Rs.780
Milton pacific 1000 ml Bottle,Rs.188
Milton VIRTUE 750 750 ml Bottle,Rs.293
Milton PRUDENT-800 Thermosteel Hot & Cold Water Bottle 810 ml Bottle,Rs.754
Milton THERMOSTEEL DUO 1800 1800 ml Bottle,Rs.1380
Milton Champ-750 Unisteel Stainless Steel Water Bottle 650 ml Bottle,Rs.298
Milton ATLANTIS 600 Thermosteel Vaccum Insulated Hot & Cold Water Bottle 500 ml Bottle,Rs.499
Milton AQUA 750 ml Bottle,Rs.352
